#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Swap_20y,2016-02-05,0.000000,1335,0,0,0,1335,1335,1335
Swap_20y,2016-08-05,0.497268,97988,97582,0,0,414067,98974,98974
Swap_20y,2017-02-06,1.003002,192042,85624,0,0,666348,195958,195958
Swap_20y,2017-08-07,1.501632,159305,160191,0,0,663084,164188,195958
Swap_20y,2018-02-05,2.000262,230297,126718,0,0,833292,239743,239743
Swap_20y,2018-08-06,2.498892,190164,191693,0,0,798473,199955,239743
Swap_20y,2019-02-05,3.000262,255455,153831,0,0,944701,271325,271325
Swap_20y,2019-08-05,3.496152,206232,208568,0,0,890731,221235,271325
Swap_20y,2020-02-05,4.000000,268953,170569,0,0,1010936,291454,291454
Swap_20y,2020-08-05,4.497268,219540,221931,0,0,925628,240300,291454
Swap_20y,2021-02-05,5.000262,274808,180048,0,0,1109553,303853,303853
Swap_20y,2021-08-05,5.496152,225919,230091,0,0,1019007,252295,303853
Swap_20y,2022-02-07,6.005741,274058,182435,0,0,1098356,309201,309201
Swap_20y,2022-08-05,6.496152,223834,229217,0,0,985861,255035,309201
Swap_20y,2023-02-06,7.003002,273086,183519,0,0,1109162,314334,314334
Swap_20y,2023-08-07,7.501632,221190,226281,0,0,972245,257161,314334
Swap_20y,2024-02-05,8.000000,267078,179412,0,0,1030396,313634,314334
Swap_20y,2024-08-05,8.497268,214194,219305,0,0,940044,254062,314334
Swap_20y,2025-02-05,9.000262,259187,172070,0,0,1041473,310556,314334
Swap_20y,2025-08-05,9.496152,207499,211430,0,0,980436,251111,314334
Swap_20y,2026-02-05,10.000262,248633,164037,0,0,1036619,303950,314334
Swap_20y,2026-08-05,10.496152,195615,200488,0,0,926454,241529,314334
Swap_20y,2027-02-05,11.000262,235785,153483,0,0,960503,294088,314334
Swap_20y,2027-08-05,11.496152,181491,186595,0,0,807966,228633,314334
Swap_20y,2028-02-07,12.005464,219415,138900,0,0,877348,279249,314334
Swap_20y,2028-08-07,12.502732,167933,172064,0,0,787358,215878,314334
Swap_20y,2029-02-05,13.000262,203995,123662,0,0,805635,264873,314334
Swap_20y,2029-08-06,13.498892,149380,153734,0,0,662985,195912,314334
Swap_20y,2030-02-05,14.000262,185812,106782,0,0,730348,246156,314334
Swap_20y,2030-08-05,14.496152,132357,136145,0,0,626090,177095,314334
Swap_20y,2031-02-05,15.000262,166579,88618,0,0,713634,225151,314334
Swap_20y,2031-08-05,15.496152,112175,115989,0,0,548592,153135,314334
Swap_20y,2032-02-05,16.000000,145474,71034,0,0,582149,200613,314334
Swap_20y,2032-08-05,16.497268,92220,95848,0,0,456558,128453,314334
Swap_20y,2033-02-07,17.005741,124560,49928,0,0,509337,175282,314334
Swap_20y,2033-08-05,17.496152,70151,73224,0,0,352329,99695,314334
Swap_20y,2034-02-06,18.003002,104135,30376,0,0,399603,149502,314334
Swap_20y,2034-08-07,18.501632,47512,50014,0,0,239505,68897,314334
Swap_20y,2035-02-05,19.000262,84051,11068,0,0,279195,123109,314334
Swap_20y,2035-08-06,19.498892,23687,25958,0,0,117592,35043,314334
Swap_20y,2036-02-05,20.000000,72684,77,0,0,165931,108619,314334
Swap_20y,2036-08-05,20.497268,0,0,0,0,0,0,314334
Swap_20y,2037-02-05,21.000262,0,0,0,0,0,0,314334
Swap_20y,2037-08-05,21.496152,0,0,0,0,0,0,314334
Swap_20y,2038-02-05,22.000262,0,0,0,0,0,0,314334
Swap_20y,2038-08-05,22.496152,0,0,0,0,0,0,314334
Swap_20y,2039-02-07,23.005741,0,0,0,0,0,0,314334
Swap_20y,2039-08-05,23.496152,0,0,0,0,0,0,314334
Swap_20y,2040-02-06,24.002732,0,0,0,0,0,0,314334
Swap_20y,2040-08-06,24.500000,0,0,0,0,0,0,314334
Swap_20y,2041-02-05,25.000262,0,0,0,0,0,0,314334
Swap_20y,2041-08-05,25.496152,0,0,0,0,0,0,314334
Swap_20y,2042-02-05,26.000262,0,0,0,0,0,0,314334
Swap_20y,2042-08-05,26.496152,0,0,0,0,0,0,314334
Swap_20y,2043-02-05,27.000262,0,0,0,0,0,0,314334
Swap_20y,2043-08-05,27.496152,0,0,0,0,0,0,314334
Swap_20y,2044-02-05,28.000000,0,0,0,0,0,0,314334
Swap_20y,2044-08-05,28.497268,0,0,0,0,0,0,314334
Swap_20y,2045-02-06,29.003002,0,0,0,0,0,0,314334
Swap_20y,2045-08-07,29.501632,0,0,0,0,0,0,314334
Swap_20y,2046-02-05,30.000262,0,0,0,0,0,0,314334
Swap_20y,2046-08-06,30.498892,0,0,0,0,0,0,314334
Swap_20y,2047-02-05,31.000262,0,0,0,0,0,0,314334
Swap_20y,2047-08-05,31.496152,0,0,0,0,0,0,314334
Swap_20y,2048-02-05,32.000000,0,0,0,0,0,0,314334
Swap_20y,2048-08-05,32.497268,0,0,0,0,0,0,314334
Swap_20y,2049-02-05,33.000262,0,0,0,0,0,0,314334
Swap_20y,2049-08-05,33.496152,0,0,0,0,0,0,314334
Swap_20y,2050-02-07,34.005741,0,0,0,0,0,0,314334
Swap_20y,2050-08-05,34.496152,0,0,0,0,0,0,314334
Swap_20y,2051-02-06,35.003002,0,0,0,0,0,0,314334
Swap_20y,2051-08-07,35.501632,0,0,0,0,0,0,314334
Swap_20y,2052-02-05,36.000000,0,0,0,0,0,0,314334
Swap_20y,2052-08-05,36.497268,0,0,0,0,0,0,314334
Swap_20y,2053-02-05,37.000262,0,0,0,0,0,0,314334
Swap_20y,2053-08-05,37.496152,0,0,0,0,0,0,314334
Swap_20y,2054-02-05,38.000262,0,0,0,0,0,0,314334
Swap_20y,2054-08-05,38.496152,0,0,0,0,0,0,314334
Swap_20y,2055-02-05,39.000262,0,0,0,0,0,0,314334
Swap_20y,2055-08-05,39.496152,0,0,0,0,0,0,314334
Swap_20y,2056-02-07,40.005464,0,0,0,0,0,0,314334
Swap_20y,2056-08-07,40.502732,0,0,0,0,0,0,314334
